File,% covered,Lines,Relevant Lines,Lines covered,Lines missed
"./app/controllers/application_controller.rb",100,45,0,0,0
"./app/controllers/architect/registrations_controller.rb",100,70,0,0,0
"./app/controllers/architects_controller.rb",100,59,30,30,0
"./app/controllers/bookings_controller.rb",100,55,28,28,0
"./app/controllers/comments_controller.rb",100,72,40,40,0
"./app/controllers/designs_controller.rb",100,205,106,106,0
"./app/controllers/home_controller.rb",100,8,3,3,0
"./app/controllers/likes_controller.rb",100,39,20,20,0
"./app/controllers/ratings_controller.rb",100,60,32,32,0
"./app/controllers/users/registrations_controller.rb",100,70,0,0,0
"./app/helpers/application_helper.rb",100,6,1,1,0
"./app/helpers/bookings_helper.rb",100,6,1,1,0
"./app/helpers/comments_helper.rb",100,6,1,1,0
"./app/helpers/custom_helper.rb",100,6,1,1,0
"./app/helpers/designs_helper.rb",100,6,1,1,0
"./app/helpers/likes_helper.rb",100,6,1,1,0
"./app/helpers/pagination_helper.rb",100,9,2,2,0
"./app/models/application_record.rb",100,8,2,2,0
"./app/models/architect.rb",100,24,9,9,0
"./app/models/booking.rb",100,23,11,11,0
"./app/models/comment.rb",100,9,4,4,0
"./app/models/design.rb",100,26,17,17,0
"./app/models/like.rb",100,8,3,3,0
"./app/models/rating.rb",100,10,4,4,0
"./app/models/user.rb",100,25,10,10,0
"./app/workers/architect_worker.rb",100,17,8,8,0
"./app/workers/user_worker.rb",100,17,8,8,0
"./config/application.rb",100,37,8,8,0
"./config/boot.rb",100,6,3,3,0
"./config/environment.rb",100,7,2,2,0
"./config/routes.rb",100,38,19,19,0
